'sample interval','ABP'
'0.008 sec','mmHg'
151109,67.119
151110,66.806
151111,66.180
151112,65.867
151113,65.241
151114,64.772
151115,64.302
151116,63.833
151117,63.207
151118,62.581
151119,61.956
151120,61.486
151121,60.860
151122,60.391
151123,59.922
151124,59.609
151125,59.139
151126,58.670
151127,58.201
151128,57.888
151129,57.418
151130,57.262
151131,57.418
151132,58.044
151133,59.139
151134,60.860
151135,62.894
151136,65.085
151137,66.806
151138,68.370
151139,69.309
151140,70.091
151141,70.873
151142,71.969
151143,73.377
151144,74.785
151145,76.349
151146,77.757
151147,79.009
151148,79.948
151149,80.574
151150,81.043
151151,81.199
151152,81.043
151153,80.574
151154,79.635
151155,78.540
151156,77.132
151157,75.254
151158,73.377
151159,71.499
151160,69.935
151161,68.840
151162,67.901
151163,67.275
151164,66.649
151165,65.867
151166,64.928
151167,64.146
151168,63.207
151169,62.269
151170,61.486
151171,60.860
151172,60.235
151173,59.765
151174,59.139
151175,58.670
151176,58.044
151177,57.575
151178,57.106
151179,56.793
151180,56.480
151181,56.167
151182,55.854
151183,55.541
151184,55.228
151185,54.915
151186,54.759
151187,54.602
151188,54.289
151189,54.133
151190,53.977
151191,53.820
151192,53.664
151193,53.507
151194,53.351
151195,53.038
151196,52.725
151197,52.412
151198,52.099
151199,51.786
151200,51.473
151201,51.160
151202,50.691
151203,50.378
151204,50.065
151205,49.596
151206,49.283
151207,48.814
151208,48.344
151209,48.031
151210,47.718
151211,47.562
151212,47.405
151213,47.562
151214,47.875
151215,48.814
151216,50.535
151217,53.194
151218,56.793
151219,60.860
151220,64.459
151221,67.432
151222,69.778
151223,71.812
151224,73.690
151225,75.880
151226,78.696
151227,81.825
151228,85.111
151229,88.396
151230,91.525
151231,94.185
151232,96.532
151233,98.409
151234,99.817
151235,100.913
151236,101.382
151237,101.382
151238,101.069
151239,100.130
151240,98.879
151241,97.158
151242,94.967
151243,92.621
151244,89.804
151245,86.832
151246,84.016
151247,81.512
151248,79.635
151249,78.227
151250,77.132
151251,76.193
151252,74.941
151253,73.533
151254,72.125
151255,70.717
151256,69.622
151257,68.683
151258,67.901
151259,67.119
151260,66.493
151261,65.711
151262,64.928
151263,64.302
151264,63.677
151265,63.207
151266,62.738
151267,62.425
151268,62.112
151269,61.799
151270,61.486
151271,61.017
151272,60.860
151273,60.548
151274,60.235
151275,60.235
